[@0,0:4='class',<2>,1:0]
[@1,6:12='Program',<3>,1:6]
[@2,14:14='{',<19>,2:0]
[@3,17:19='int',<5>,3:1]
[@4,21:21='a',<41>,3:5]
[@5,22:22=',',<26>,3:6]
[@6,23:23='b',<41>,3:7]
[@7,24:24=';',<25>,3:8]
[@8,28:31='void',<4>,5:1]
[@9,33:35='sum',<41>,5:6]
[@10,36:36='(',<23>,5:9]
[@11,37:37=')',<24>,5:10]
[@12,40:40='{',<19>,6:1]
[@13,44:44='a',<41>,7:2]
[@14,46:46='=',<16>,7:4]
[@15,48:49='10',<42>,7:6]
[@16,50:50=';',<25>,7:8]
[@17,54:54='b',<41>,8:2]
[@18,56:56='=',<16>,8:4]
[@19,58:59='20',<42>,8:6]
[@20,60:60=';',<25>,8:8]
[@21,64:70='callout',<13>,9:2]
[@22,71:71='(',<23>,9:9]
[@23,72:78='display',<41>,9:10]
[@24,79:79=',',<26>,9:17]
[@25,81:81='a',<41>,9:19]
[@26,82:82='+',<28>,9:20]
[@27,83:83='b',<41>,9:21]
[@28,84:84=')',<24>,9:22]
[@29,85:85=';',<25>,9:23]
[@30,88:88='}',<20>,10:1]
[@31,90:90='}',<20>,11:0]
[@32,92:91='<EOF>',<-1>,12:0]
